sku,produto,tipo,mlb_codigo,fisico_atual,full_magazine_qtd,a_caminho_magazine,full_pegleve_qtd,a_caminho_pegleve,custo_unitario,total_reais,estoque_geral
WMS-0246,HD Externo X100 Branco,SKU,MLB6590459705,539.0,16,0,0,0,20.0,11100.0,555.0
WMS-0247,Adaptador USB S1 Verde,SKU,,2254.0,0,0,0,0,60.0,135240.0,2254.0
WMS-0248,Ventilador USB S1 Cinza,SKU,MLB1133790981,157.0,0,0,65,0,0.0,0.0,222.0
WMS-0249,Pendrive Air Rosa,SKU,MLB9583864766,148.0,82,0,0,0,133.0,30590.0,230.0
WMS-0250,Fonte Carregador Air Rosa,SKU,,2.0,0,0,0,0,0.0,0.0,2.0
WMS-0251,Teclado Sem Fio Z1 Cinza,SKU,,0.0,5,0,0,0,0.0,0.0,5.0
WMS-0252,Adaptador USB S2 Vermelho,SKU,"MLB8934086843,MLB5758659815",186.0,258,3,384,0,36.0,29808.0,828.0
WMS-0253,Cabo Lightning Plus Rosa,SKU,MLB2905085701,217.0,34,0,0,0,165.0,41415.0,251.0
WMS-0254,Cabo Lightning Air Azul,SKU,MLB4862321353,581.0,0,0,0,0,0.0,0.0,581.0
WMS-0255,Capa Protetora Ultra Cinza,SKU,MLB1637088959,0.0,0,0,71,0,0.0,0.0,71.0
WMS-0256,Cabo Lightning Plus Cinza,SKU,,41.0,0,0,0,0,0.0,0.0,41.0
WMS-0257,Película de Vidro T20 Azul,SKU,,55.0,0,0,0,0,6.0,330.0,55.0
WMS-0258,Adaptador USB X100 Azul,SKU,,54.0,0,0,0,0,0.0,0.0,54.0
WMS-0259,Capa Protetora X200 Preto,SKU,MLB5836956044,0.0,13,0,0,0,0.0,0.0,13.0
WMS-0260,Webcam HD S3 Azul,SKU,"MLB8353640266,MLB6561543484",0.0,1,0,0,0,0.0,0.0,1.0
WMS-0261,Roteador Wi-Fi Z2 Branco,SKU,MLB2847692041,0.0,35,0,0,0,33.0,1155.0,35.0
WMS-0262,Suporte Veicular X100 Cinza,SKU,MLB4717261214,0.0,0,0,1,2,1093.0,1093.0,1.0
WMS-0263,Pendrive Z2,SKU,MLB7142103618,0.0,112,28,0,0,100.0,11200.0,112.0
WMS-0264,Mouse Sem Fio Max Preto,SKU,"MLB4814321889,MLB7072283057,MLB8848705807,MLB7007500393",0.0,260,183,0,0,0.0,0.0,260.0
WMS-0265,Capa Protetora Z2 Branco,SKU,"MLB4133661881,MLB6637352245",0.0,18,0,0,0,9.5,171.0,18.0
WMS-0266,Carregador Veicular X300 Verde,SKU,MLB6389710636,0.0,84,1,8,0,0.0,0.0,92.0
WMS-0267,Pendrive X300 Preto,SKU,"MLB5095648684,MLB3036965074",0.0,1,0,0,0,27.0,27.0,1.0
WMS-0268,Power Bank Lite Cinza,SKU,MLB1366637148,0.0,13,0,0,0,0.0,0.0,13.0
WMS-0269,Webcam HD V7 Vermelho,SKU,"MLB2854895521,MLB9847550931",0.0,5,0,0,0,55.0,275.0,5.0
WMS-0270,Mini Projetor Neo Verde,SKU,"MLB7707379050,MLB3877685081",0.0,4,0,0,0,226.0,904.0,4.0
WMS-0271,HD Externo Z1 Cinza,SKU,"MLB7059376953,MLB6636925105",0.0,1,0,0,0,0.0,0.0,1.0
WMS-0272,Adaptador USB Ultra Preto,SKU,MLB3179320310,0.0,21,29,0,0,18.0,378.0,21.0
WMS-0273,Controle Bluetooth Pro Vermelho,SKU,MLB3070987704,0.0,3,5,0,0,0.0,0.0,3.0
WMS-0274,Roteador Wi-Fi Plus Cinza,SKU,MLB4639017775,0.0,0,0,4,0,2300.0,9200.0,4.0
WMS-0275,Hub USB X300 Azul,SKU,MLB7684109313,0.0,0,0,5,0,0.0,0.0,5.0
WMS-0276,Película de Vidro Max Branco,SKU,MLB3391179068,0.0,0,0,1,0,40.0,40.0,1.0
WMS-0277,Caixa de Som Bluetooth X100 Verde,SKU,MLB8273403366,0.0,0,0,2,0,19.0,38.0,2.0
WMS-0278,HD Externo Mini,SKU,MLB1124352982,0.0,0,0,3,0,0.0,0.0,3.0
WMS-0279,Adaptador USB X200 Vermelho,SKU,MLB8569491238,0.0,0,0,4,0,4520.0,18080.0,4.0
